city,Latitude,Longitude,"Max temp, F",Humidity %,Cloudiness,"Wind Speed, mph",Country,Date
takhtamygda,54.1,123.57,63.75,96.0,99.0,7.96,RU,1595532829.0
dikson,73.51,80.55,40.98,87.0,0.0,7.07,RU,1595532710.0
punta arenas,-53.15,-70.92,39.2,80.0,40.0,18.34,CL,1595532704.0
bethel,41.37,-73.41,86.0,66.0,20.0,12.75,US,1595532715.0
adrar,20.5,-10.07,101.3,18.0,0.0,6.6,MR,1595532714.0
takoradi,4.88,-1.76,74.89,88.0,88.0,8.1,GH,1595532774.0
kerchevskiy,59.95,56.29,59.47,79.0,80.0,6.13,RU,1595532830.0
yellowknife,62.46,-114.35,61.0,87.0,90.0,12.75,CA,1595532684.0
ponta do sol,32.67,-17.1,71.6,68.0,20.0,18.34,PT,1595532712.0
georgetown,5.41,100.34,80.6,88.0,20.0,2.24,MY,1595532713.0
kruisfontein,-34.0,24.73,56.82,45.0,0.0,3.74,ZA,1595532721.0
cape town,-33.93,18.42,57.0,93.0,0.0,3.36,ZA,1595532469.0
lebu,-37.62,-73.65,48.31,62.0,46.0,5.3,CL,1595532744.0
mataura,-46.19,168.86,39.0,83.0,99.0,3.0,NZ,1595532715.0
port lincoln,-34.73,135.87,52.3,54.0,0.0,18.21,AU,1595532712.0
aklavik,68.22,-135.01,59.0,54.0,40.0,12.75,CA,1595532753.0
huambo,-12.78,15.74,54.43,38.0,0.0,4.23,AO,1595532830.0
rikitea,-23.12,-134.97,66.83,65.0,0.0,17.54,PF,1595532712.0
batemans bay,-35.72,150.18,43.0,95.0,15.0,3.0,AU,1595532831.0
chokurdakh,70.63,147.92,68.36,60.0,8.0,5.68,RU,1595532772.0
nanortalik,60.14,-45.24,47.91,91.0,100.0,6.38,GL,1595532714.0
ushuaia,-54.8,-68.3,41.0,60.0,75.0,6.93,AR,1595532620.0
hithadhoo,-0.6,73.08,83.25,68.0,100.0,2.59,MV,1595532656.0
bluff,-46.6,168.33,39.0,83.0,96.0,3.0,NZ,1595532712.0
puquio,-14.7,-74.13,61.05,30.0,10.0,13.44,PE,1595532831.0
margate,51.38,1.39,68.0,47.0,100.0,1.99,GB,1595532706.0
eidfjord,60.47,7.07,52.0,60.0,7.0,1.01,NO,1595532831.0
khabary,53.63,79.53,53.15,72.0,98.0,7.83,RU,1595532832.0
san severo,41.69,15.38,80.6,61.0,20.0,8.05,IT,1595532832.0
batagay,67.63,134.63,69.37,52.0,35.0,3.58,RU,1595532759.0
zyryanka,65.75,150.85,74.5,46.0,95.0,3.91,RU,1595532754.0
mar del plata,-38.0,-57.56,55.99,100.0,90.0,9.17,AR,1595532489.0
harindanga,22.04,88.32,82.4,94.0,40.0,6.33,IN,1595532832.0
khatanga,71.97,102.5,41.88,88.0,100.0,17.18,RU,1595532761.0
norman wells,65.28,-126.83,60.8,63.0,75.0,11.41,CA,1595532709.0
qaanaaq,77.48,-69.36,48.65,52.0,0.0,1.45,GL,1595532715.0
new norfolk,-42.78,147.06,39.0,85.0,85.0,1.01,AU,1595532733.0
kuala pilah,2.74,102.25,78.8,88.0,20.0,3.36,MY,1595532833.0
hermanus,-34.42,19.23,57.99,88.0,0.0,3.0,ZA,1595532743.0
sao filipe,14.9,-24.5,78.67,84.0,100.0,7.2,CV,1595532731.0
puerto ayora,-0.74,-90.35,78.8,61.0,20.0,25.28,EC,1595532711.0
santa cruz de la palma,28.68,-17.76,73.4,73.0,20.0,18.34,ES,1595532833.0
lac du bonnet,50.25,-96.06,75.99,98.0,13.0,15.99,CA,1595532833.0
jamestown,42.1,-79.24,81.0,61.0,20.0,10.29,US,1595532488.0
hobart,-42.88,147.33,41.0,80.0,63.0,3.36,AU,1595532547.0
hailin,44.58,129.42,62.51,90.0,65.0,0.58,CN,1595532833.0
poronaysk,49.22,143.12,52.74,88.0,100.0,1.79,RU,1595532833.0
atuona,-9.8,-139.03,78.66,75.0,0.0,19.82,PF,1595532707.0
busselton,-33.65,115.33,44.01,74.0,0.0,4.05,AU,1595532714.0
saskylakh,71.92,114.08,49.46,94.0,87.0,5.44,RU,1595532714.0
la asuncion,11.03,-63.86,89.6,55.0,88.0,13.87,VE,1595532771.0
nikolskoye,59.7,30.79,57.0,71.0,20.0,6.71,RU,1595532718.0
cap-aux-meules,47.38,-61.86,73.4,64.0,20.0,9.17,CA,1595532721.0
bredasdorp,-34.53,20.04,53.6,93.0,0.0,2.24,ZA,1595532505.0
hofn,64.25,-15.21,47.48,81.0,100.0,13.87,IS,1595532834.0
kolchugino,56.3,39.38,50.27,91.0,0.0,5.57,RU,1595532834.0
albany,42.6,-73.97,82.99,83.0,83.0,6.78,US,1595532713.0
talnakh,69.49,88.4,44.6,81.0,100.0,22.37,RU,1595532753.0
saquarema,-22.92,-42.51,78.8,61.0,0.0,14.99,BR,1595532538.0
pevek,69.7,170.31,47.7,74.0,60.0,10.49,RU,1595532726.0
mayumba,-3.43,10.66,71.42,84.0,53.0,3.15,GA,1595532835.0
barrow,71.29,-156.79,44.6,93.0,90.0,18.34,US,1595532719.0
chuy,-33.7,-53.46,66.74,94.0,100.0,4.88,UY,1595532717.0
naivasha,-0.72,36.44,57.0,90.0,56.0,5.99,KE,1595532835.0
okhotsk,59.38,143.3,57.78,81.0,67.0,1.1,RU,1595532835.0
tucurui,-3.77,-49.67,87.85,53.0,56.0,1.9,BR,1595532835.0
geraldton,-28.77,114.6,42.8,93.0,0.0,5.82,AU,1595532711.0
tuy hoa,13.08,109.3,76.91,86.0,100.0,6.11,VN,1595532738.0
vardo,70.37,31.11,10.4,100.0,75.0,13.87,NO,1595532734.0
ostrovnoy,68.05,39.51,62.33,84.0,100.0,9.86,RU,1595532727.0
arraial do cabo,-22.97,-42.03,78.8,61.0,12.0,14.99,BR,1595532715.0
olafsvik,64.89,-23.71,48.24,70.0,0.0,18.72,IS,1595532751.0
doha,25.29,51.53,93.99,67.0,0.0,5.82,QA,1595532828.0
axim,4.87,-2.24,75.0,88.0,98.0,7.31,GH,1595532740.0
longyearbyen,78.22,15.64,48.2,81.0,90.0,10.29,SJ,1595532731.0
bumba,2.18,22.47,74.21,86.0,100.0,3.13,CD,1595532836.0
palmer,42.16,-72.33,88.0,83.0,75.0,3.36,US,1595532836.0
cidreira,-30.18,-50.21,66.72,76.0,100.0,10.87,BR,1595532770.0
port-de-bouc,43.4,4.98,84.2,48.0,100.0,6.93,FR,1595532837.0
vaini,-21.2,-175.2,68.0,100.0,75.0,3.36,TO,1595532735.0
castro,-24.79,-50.01,68.63,62.0,1.0,4.54,BR,1595532744.0
mujiayingzi,42.12,118.78,69.28,54.0,27.0,3.85,CN,1595532837.0
cherskiy,68.75,161.3,65.03,66.0,17.0,8.75,RU,1595532758.0
zunyi,27.69,106.91,69.82,94.0,86.0,4.56,CN,1595532837.0
hilo,19.73,-155.09,77.0,73.0,90.0,10.29,US,1595532715.0
cabo san lucas,22.89,-109.91,90.0,62.0,5.0,11.41,MX,1595532672.0
la porte,29.67,-95.02,91.99,66.0,25.0,1.01,US,1595532837.0
moose factory,51.26,-80.61,80.6,44.0,1.0,8.05,CA,1595532744.0
inirida,3.87,-67.92,77.07,92.0,97.0,3.31,CO,1595532838.0
kapaa,22.08,-159.32,82.99,74.0,40.0,13.87,US,1595532718.0
pronsk,54.1,39.61,52.66,84.0,0.0,6.62,RU,1595532838.0
bubaque,11.28,-15.83,81.09,83.0,100.0,15.32,GW,1595532763.0
koutsouras,35.03,25.95,82.0,46.0,0.0,11.99,GR,1595532838.0
pano aqil,27.86,69.11,91.4,59.0,0.0,9.17,PK,1595532838.0
sao gabriel,-30.34,-54.32,74.77,76.0,100.0,7.45,BR,1595532838.0
east london,-33.02,27.91,64.26,47.0,0.0,8.99,ZA,1595532722.0
kodiak,57.79,-152.41,57.2,71.0,1.0,1.9,US,1595532549.0
billings,45.78,-108.5,82.0,36.0,90.0,18.34,US,1595532731.0
viedma,-40.81,-63.0,45.0,93.0,100.0,7.0,AR,1595532734.0
kayerkan,69.35,87.76,44.6,81.0,98.0,22.37,RU,1595532839.0
namibe,-15.2,12.15,67.01,72.0,0.0,2.95,AO,1595532759.0
soanierana ivongo,-16.92,49.58,66.09,87.0,63.0,10.36,MG,1595532839.0
half moon bay,37.46,-122.43,72.0,64.0,40.0,13.87,US,1595532839.0
touros,-5.2,-35.46,82.4,65.0,75.0,13.87,BR,1595532767.0
challapata,-18.9,-66.77,56.34,29.0,0.0,17.18,BO,1595532839.0
kutum,14.2,24.67,79.74,50.0,35.0,17.02,SD,1595532839.0
lokosovo,61.13,74.82,52.11,79.0,0.0,6.26,RU,1595532840.0
seoul,37.57,126.98,71.6,73.0,90.0,5.82,KR,1595532757.0
ribeira grande,38.52,-28.7,73.4,64.0,40.0,5.82,PT,1595532714.0
klaksvik,62.23,-6.59,51.8,87.0,60.0,5.82,FO,1595532722.0
cururupu,-1.83,-44.87,82.47,61.0,18.0,5.44,BR,1595532724.0
carnarvon,-24.87,113.63,60.8,82.0,0.0,12.75,AU,1595532740.0
walvis bay,-22.96,14.51,78.8,14.0,0.0,3.36,NA,1595532776.0
yantal,56.85,105.25,52.11,85.0,0.0,1.34,RU,1595532840.0
bondoukou,8.03,-2.8,72.28,89.0,99.0,3.47,CI,1595532840.0
avarua,-21.21,-159.78,73.4,100.0,22.0,4.7,CK,1595532725.0
port alfred,-33.59,26.89,64.17,43.0,0.0,8.43,ZA,1595532724.0
nagapattinam,10.77,79.83,82.85,78.0,100.0,15.19,IN,1595532841.0
toora-khem,52.47,96.11,51.13,71.0,100.0,2.39,RU,1595532713.0
tasiilaq,65.61,-37.64,41.0,80.0,75.0,9.17,GL,1595532727.0
upernavik,72.79,-56.15,46.33,74.0,80.0,11.32,GL,1595532505.0
clyde river,70.47,-68.59,48.2,61.0,75.0,11.41,CA,1595532734.0
abu road,24.48,72.78,84.07,71.0,100.0,6.2,IN,1595532841.0
lompoc,34.64,-120.46,69.01,68.0,0.0,5.82,US,1595532709.0
kokkarion,37.78,26.89,86.0,40.0,0.0,14.99,GR,1595532841.0
ancud,-41.87,-73.82,46.4,61.0,0.0,6.93,CL,1595532737.0
sarakhs,36.54,61.16,89.6,31.0,0.0,6.93,IR,1595532842.0
torbay,47.67,-52.73,75.0,49.0,75.0,16.11,CA,1595532729.0
tuatapere,-46.13,167.68,39.0,83.0,93.0,3.0,NZ,1595532734.0
quatre cocos,-20.21,57.76,68.0,68.0,75.0,18.34,MU,1595532842.0
saint george,37.1,-113.58,98.01,20.0,1.0,5.82,US,1595532756.0
mana,5.66,-53.78,81.16,82.0,96.0,9.26,GF,1595532842.0
muros,42.78,-9.06,72.0,63.0,84.0,5.99,ES,1595532842.0
chumikan,54.72,135.31,48.87,92.0,17.0,2.51,RU,1595532758.0
mahebourg,-20.41,57.7,68.0,68.0,75.0,18.34,MU,1595532726.0
narsaq,60.92,-46.05,59.0,62.0,75.0,6.93,GL,1595532720.0
samarai,-10.62,150.67,77.61,84.0,77.0,11.25,PG,1595532843.0
tuktoyaktuk,69.45,-133.04,55.4,58.0,75.0,16.11,CA,1595532725.0
chippewa falls,44.94,-91.39,77.0,53.0,75.0,6.93,US,1595532602.0
hasaki,35.73,140.83,70.0,100.0,40.0,2.24,JP,1595532771.0
fortuna,40.6,-124.16,63.0,82.0,75.0,9.17,US,1595532517.0
butaritari,3.07,172.79,82.35,79.0,3.0,16.08,KI,1595532716.0
amuntai,-2.42,115.25,72.73,98.0,92.0,1.21,ID,1595532844.0
miri,4.41,114.01,75.2,100.0,40.0,3.36,MY,1595532844.0
port moresby,-9.44,147.18,75.2,94.0,75.0,11.41,PG,1595532844.0
vestmannaeyjar,63.44,-20.27,51.17,86.0,65.0,16.49,IS,1595532844.0
san isidro,-12.12,-77.05,64.4,77.0,75.0,8.05,PE,1595532844.0
maningrida,-12.07,134.27,64.09,93.0,2.0,6.49,AU,1595532844.0
fairbanks,64.84,-147.72,60.8,77.0,40.0,3.49,US,1595532735.0
sibut,5.72,19.07,70.72,92.0,100.0,1.25,CF,1595532845.0
tupanatinga,-8.75,-37.34,71.01,69.0,95.0,14.25,BR,1595532845.0
harper,4.38,-7.72,75.92,86.0,81.0,9.89,LR,1595532845.0
matara,5.95,80.54,78.01,87.0,97.0,9.1,LK,1595532743.0
naze,28.37,129.48,82.4,88.0,40.0,8.05,JP,1595532766.0
gold coast,-28.0,153.43,59.0,87.0,90.0,8.05,AU,1595532684.0
ous,60.91,61.52,55.13,65.0,0.0,4.18,RU,1595532845.0
madingou,-4.15,13.55,78.44,48.0,10.0,4.85,CG,1595532845.0
airai,-8.93,125.41,52.52,72.0,53.0,2.66,TL,1595532504.0
mokhsogollokh,61.47,128.92,58.35,84.0,6.0,3.76,RU,1595532846.0
xenia,39.68,-83.93,84.0,69.0,40.0,10.92,US,1595532846.0
bengkulu,-3.8,102.27,75.07,89.0,100.0,5.61,ID,1595532641.0
bangaon,23.07,88.82,82.4,94.0,40.0,4.7,IN,1595532846.0
bathsheba,13.22,-59.52,87.8,58.0,40.0,16.11,BB,1595532748.0
kaitangata,-46.28,169.85,37.99,76.0,95.0,8.01,NZ,1595532846.0
porto novo,6.5,2.6,77.0,94.0,20.0,12.75,BJ,1595532846.0
mount isa,-20.73,139.5,48.2,66.0,0.0,11.59,AU,1595532666.0
hualmay,-11.1,-77.61,65.98,72.0,36.0,12.44,PE,1595532846.0
buin,-33.73,-70.75,53.6,46.0,40.0,4.7,CL,1595532741.0
benguela,-12.58,13.41,68.61,88.0,12.0,3.85,AO,1595532847.0
ilulissat,69.22,-51.1,53.6,62.0,75.0,3.36,GL,1595532717.0
saldanha,-33.01,17.94,64.4,59.0,0.0,2.24,ZA,1595532722.0
dunedin,-45.87,170.5,42.01,73.0,70.0,5.99,NZ,1595532847.0
te anau,-45.42,167.72,34.36,88.0,61.0,2.55,NZ,1595532766.0
aquidauana,-20.47,-55.79,90.91,21.0,0.0,3.33,BR,1595532847.0
karratha,-20.74,116.85,69.06,43.0,0.0,7.96,AU,1595532763.0
sangar,63.92,127.47,61.72,69.0,3.0,9.31,RU,1595532847.0
dese,11.13,39.63,58.21,78.0,99.0,2.86,ET,1595532847.0
obo,5.4,26.49,67.75,94.0,85.0,1.48,CF,1595532787.0
nandaime,11.76,-86.05,87.8,70.0,40.0,4.7,NI,1595532848.0
isangel,-19.55,169.27,72.72,84.0,62.0,11.95,VU,1595532739.0
shenjiamen,29.96,122.3,77.02,93.0,100.0,8.63,CN,1595532848.0
faya,18.39,42.45,73.4,78.0,47.0,3.02,SA,1595532848.0
sioux lookout,50.1,-91.92,82.4,37.0,75.0,10.29,CA,1595532848.0
komsomolskiy,40.43,71.72,80.6,34.0,3.0,4.7,UZ,1595532734.0
sorland,67.67,12.69,50.0,93.0,75.0,17.22,NO,1595532788.0
saint anthony,45.02,-93.22,78.01,57.0,1.0,4.7,US,1595532837.0
ati,13.22,18.34,84.11,53.0,71.0,11.63,TD,1595532849.0
tarauaca,-8.16,-70.77,90.61,46.0,83.0,1.77,BR,1595532849.0
pesqueira,-8.36,-36.7,73.58,58.0,95.0,13.02,BR,1595532849.0
katobu,-4.94,122.53,71.38,91.0,67.0,2.64,ID,1595532849.0
iracoubo,5.48,-53.2,81.41,79.0,92.0,10.38,GF,1595532849.0
pisco,-13.7,-76.22,70.0,64.0,0.0,8.05,PE,1595532659.0
lernakert,40.56,43.94,59.0,87.0,75.0,11.41,AM,1595532849.0
esperance,-33.87,121.9,46.4,87.0,40.0,9.17,AU,1595532722.0
hisar,29.17,75.72,91.11,42.0,0.0,5.21,IN,1595532849.0
biri,12.68,124.36,82.08,81.0,94.0,6.33,PH,1595532850.0
berlevag,70.86,29.09,50.0,100.0,90.0,2.24,NO,1595532767.0
grindavik,63.84,-22.43,53.6,66.0,2.0,21.92,IS,1595532737.0
